,latitude,longitude,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors
2887,47.6249,-122.311,1125000,5,1.75,1910,5640,2
2896,47.5924,-122.302,700000,3,1,1410,7200,2
2916,47.5961,-122.305,313000,4,1.75,1630,3000,1
2928,47.6049,-122.288,464000,3,1,1320,3625,2
2950,47.6033,-122.287,765000,3,2.75,2250,9600,2.5
2960,47.6196,-122.298,570000,3,2,1400,1657,2
2970,47.6033,-122.295,441000,4,1.5,1100,3300,1
2973,47.633,-122.282,524000,2,2,1450,2272,1
2975,47.6331,-122.31,1325000,4,3.25,2470,4760,1.5
3029,47.5959,-122.291,950000,5,3.25,2700,3650,2
3037,47.6205,-122.291,728000,3,1.5,1940,4000,1.5
3066,47.6467,-122.304,975000,4,2.5,3020,4950,1.5
3084,47.6231,-122.292,350000,3,1.5,1320,4400,1
3093,47.6362,-122.282,1265000,4,2.25,2870,6000,1
3095,47.6032,-122.285,759000,3,2.75,1960,6390,1.5
3113,47.6135,-122.307,402500,4,1,1270,3630,1.5
3117,47.6283,-122.312,1506000,4,3.25,3660,5800,2.5
3151,47.6332,-122.29,1400000,3,3.25,3020,6073,2
3160,47.5916,-122.293,375000,2,1.5,1160,1648,2
3165,47.6405,-122.301,710000,2,1,1790,4000,1
3210,47.6028,-122.298,464000,5,2,2000,3000,1.5
3216,47.6178,-122.299,439000,1,1,790,2400,1
3221,47.6387,-122.284,1900000,3,3.75,3150,8550,2
3262,47.6308,-122.312,885000,3,1.5,2200,2880,2
3281,47.6044,-122.284,921000,4,2.5,2310,5362,2
3290,47.6192,-122.299,487028,2,1.5,1295,1093,2
3300,47.6458,-122.32,1675000,6,2.25,4910,6600,2.5
3305,47.596,-122.311,247300,2,2,1140,1118,2
3345,47.6306,-122.288,2544750,5,4.75,5410,13431,2
3354,47.6254,-122.292,553650,2,2.5,1360,1349,2
3367,47.633,-122.283,1570000,4,3.75,3070,5850,2
3370,47.6357,-122.322,390000,2,1.75,1150,2723,1
3411,47.6182,-122.312,1234570,2,2.5,2470,609,3
3419,47.6317,-122.301,640000,3,1,1210,3720,2
3490,47.6059,-122.3,548500,3,1,1740,4400,1.5
3560,47.6221,-122.325,933000,3,1.5,1870,3300,2
3638,47.6112,-122.303,430000,4,2,1990,4740,1
3679,47.6197,-122.3,579000,3,2.5,1640,1269,3
3690,47.6319,-122.288,2453500,4,3.5,4730,13586,1.5
3707,47.6205,-122.294,549000,2,1,1140,5400,1
3764,47.6374,-122.288,2890000,4,4,5780,7173,2
3804,47.6097,-122.287,1075000,4,2.25,2820,5000,1.5
3812,47.634,-122.288,2200000,4,3,3540,11098,2
3848,47.5924,-122.294,450000,3,2.5,1639,2710,2
3862,47.6282,-122.293,965000,4,2.5,2460,5000,2
3874,47.6157,-122.287,1495000,4,3.75,3770,4000,2.5
3881,47.6344,-122.305,880000,4,2.5,2350,4675,2
3910,47.6163,-122.293,665000,4,3,2160,4400,1
3936,47.6082,-122.299,202000,1,1,590,833,1
4018,47.6235,-122.306,761000,3,3.5,2050,2020,2
4073,47.6248,-122.319,625000,3,3.5,1560,1490,2
4081,47.6,-122.298,399950,3,2.5,1610,1320,2
4082,47.6053,-122.306,545000,4,3.5,1880,1341,3
4084,47.6101,-122.286,1210000,4,2.25,3270,6000,2
4171,47.6423,-122.329,755000,2,2.5,1360,2070,2
4179,47.6374,-122.324,700000,9,3,3680,4400,2
4185,47.604,-122.288,865000,4,2.5,2710,4069,3
4344,47.6429,-122.327,796000,3,1,1980,3243,1.5
4387,47.6188,-122.285,825000,4,1.5,2040,6900,2
4394,47.6198,-122.299,500000,3,2.25,1360,1236,2
4398,47.6245,-122.327,840000,4,2.75,3040,2800,2
4420,47.6029,-122.302,520000,3,2,1410,2700,2
4451,47.6063,-122.292,785200,3,2.25,1840,3500,1.5
4526,47.6225,-122.318,1200000,5,2.5,2860,4000,2
4536,47.6345,-122.302,1206500,3,2.75,3150,5520,1.5
4596,47.6028,-122.312,302000,3,1,1600,1950,2
4616,47.6113,-122.292,670000,3,1.5,1490,4400,1.5
4618,47.6117,-122.297,650000,4,2,1930,3976,1.5
4619,47.6408,-122.3,690000,2,1.75,1600,4000,1
4634,47.6089,-122.303,558000,4,2,2180,3870,1
4637,47.6136,-122.297,670000,4,2,2250,4200,1.5
4638,47.6381,-122.314,1125000,6,4.25,3100,9378,3
4653,47.6454,-122.316,750000,7,2.75,3410,4056,1.5
4654,47.617,-122.291,800000,3,2.75,2220,4000,2
4692,47.597,-122.292,934550,4,3.25,2320,5900,1.5
4746,47.6285,-122.322,2479000,5,3.75,6810,7500,2.5
4756,47.6115,-122.292,650500,3,1.75,1740,4400,1.5
4775,47.6434,-122.3,950000,4,2.5,1700,4418,2
4788,47.6359,-122.3,840000,4,2.25,2100,3671,1.5
4794,47.6321,-122.304,2048000,5,4,4690,8208,2
4811,47.6427,-122.304,1151250,4,2.5,1940,4875,2
4867,47.5996,-122.288,1400000,3,2.5,2550,7200,2
4883,47.6147,-122.302,278000,4,2,1480,6324,1
4975,47.6453,-122.327,600000,2,1,1110,3500,1.5
4993,47.6037,-122.307,430000,2,2.25,1040,1516,2
5024,47.6132,-122.297,420000,2,1.75,1200,3136,1
5116,47.6275,-122.321,525000,4,1,1570,4000,1.5
5157,47.621,-122.302,760000,5,1.5,3050,2992,1.5
5311,47.6245,-122.316,935000,4,2,2580,4500,2
5318,47.6024,-122.295,823000,6,1.75,2920,5000,2.5
5347,47.5959,-122.3,525000,6,3,2880,7560,2
5357,47.6046,-122.3,540000,5,1,2480,4400,1.5
5422,47.6051,-122.311,682000,3,1.75,1830,5120,1.5
5487,47.6058,-122.313,302282,2,1,1095,5120,1.5
5587,47.6313,-122.303,1157400,3,2.5,2740,5925,2
5616,47.639,-122.31,770000,3,2,2350,5700,1.5
5619,47.6312,-122.291,2466350,5,4.75,6390,13180,2
5659,47.5949,-122.307,404500,2,1,1270,3700,1.5
5668,47.5942,-122.298,387000,2,2.25,1230,1280,2
5696,47.6188,-122.308,739375,5,3,2640,3200,2
5732,47.604,-122.307,435000,2,2.5,1560,1222,2
5738,47.6055,-122.285,1697000,3,2,2600,6600,2
5771,47.607,-122.297,295000,2,1,750,4500,1
5773,47.6149,-122.287,1727000,4,2.25,3470,8000,1.5
5779,47.6012,-122.296,345000,3,1,1140,4200,2
5780,47.6212,-122.296,399000,2,1,700,3400,1
5786,47.6031,-122.303,449950,3,2,1880,3048,2
5794,47.5982,-122.299,230000,3,1,680,2400,1
5812,47.5985,-122.298,350000,3,1,1190,3600,1.5
5832,47.5958,-122.306,677000,4,2,2180,6000,1.5
5881,47.6436,-122.303,724800,3,2,2050,3933,1
5887,47.6018,-122.291,685000,3,1.75,1480,7000,1
5914,47.6329,-122.31,1325000,4,2.25,2870,6280,1.5
5930,47.6376,-122.307,920000,4,1.5,1850,3600,2
5989,47.6146,-122.299,330000,1,1,860,4800,1
6003,47.595,-122.306,495000,3,2.25,2100,3000,2
6027,47.6078,-122.307,345000,3,1,1390,2640,1.5
6033,47.6104,-122.303,863500,4,3,3250,2760,2.5
6068,47.6058,-122.3,382000,4,1,1740,4400,1.5
6098,47.6287,-122.287,2400000,4,3.5,5860,7200,2
6105,47.6051,-122.298,421500,3,1.5,990,4500,1
6125,47.622,-122.3,650000,2,2.5,1740,2500,2
6143,47.6224,-122.326,635000,3,3.5,1730,1349,3
6165,47.6195,-122.313,675000,3,1.5,2510,3600,2.5
6172,47.6265,-122.323,670000,3,2.5,1420,1438,2
6182,47.6227,-122.323,799200,6,3,2890,2370,2.5
6192,47.6033,-122.303,550000,3,2.5,2340,4200,1.5
6209,47.6238,-122.311,751750,2,2,1880,5400,1.5
6214,47.6122,-122.298,580000,3,2.25,1900,3960,1.5
6245,47.6147,-122.3,260000,2,1,700,4800,1
6280,47.6283,-122.301,690500,5,2,2000,4211,1.5
6336,47.5936,-122.301,595000,3,1,1560,3960,1.5
6352,47.6289,-122.309,950000,3,2,2250,2975,2
6441,47.6428,-122.302,750000,3,2,1840,2825,1
6660,47.6284,-122.312,1335000,5,2.25,4200,5800,2.5
6673,47.6288,-122.284,2250000,3,3,4040,7200,1.5
6680,47.6042,-122.303,390000,3,3,1550,1608,2
6725,47.6304,-122.301,508000,2,1,1200,2500,2
6749,47.6466,-122.304,685000,6,2.25,2770,5854,1.5
6762,47.5949,-122.296,425000,4,2,1490,5300,1
6822,47.6102,-122.309,612000,3,3,1740,3700,1
6823,47.6155,-122.3,591000,3,1.75,1680,2400,1
6854,47.6032,-122.31,447500,2,2.25,1180,2090,2
6862,47.6102,-122.314,690000,3,2,1770,1800,3
6915,47.6156,-122.299,631000,4,2,1930,3240,1.5
6943,47.6264,-122.302,560000,4,1.5,1810,3400,2
6970,47.6399,-122.32,482000,2,2.25,1350,1248,2
7001,47.6134,-122.308,750000,2,1.5,1300,7632,1
7025,47.6121,-122.294,605000,2,2,1270,5500,1.5
7071,47.6461,-122.317,900000,2,1,1240,5500,1
7088,47.6005,-122.306,304000,2,1.5,950,676,2
7107,47.6076,-122.298,375000,4,2,1240,3000,1
7126,47.6298,-122.323,7700000,6,8,12050,27600,2.5
7128,47.6265,-122.3,1045000,4,3,3560,4000,3
7148,47.6178,-122.292,440000,3,1,1040,4000,1
7157,47.6453,-122.303,1160000,4,2.5,2790,5450,2
7217,47.6147,-122.285,1535000,4,3.25,2850,4100,2
7249,47.6155,-122.306,250000,1,1,780,1033,1
7289,47.6259,-122.291,1975000,6,4.5,4800,9097,2
7332,47.5917,-122.29,825000,4,1,2290,6300,1.5
7349,47.6315,-122.311,1025000,3,1,2050,4800,2
7356,47.5942,-122.296,359000,3,3,1320,1071,2
7387,47.6066,-122.304,450000,3,2,1010,2820,1.5
7401,47.6133,-122.306,935000,4,2,1220,7489,2
7408,47.5972,-122.296,410000,4,2,1510,3240,1
7410,47.6312,-122.307,809000,4,1.5,1840,4337,2
7413,47.6265,-122.295,1050000,3,1.75,2650,5512,2
7419,47.6296,-122.3,575000,2,1,1490,6000,1
7455,47.6145,-122.295,387500,4,1,1320,4440,1.5
7479,47.5976,-122.295,449000,3,1.75,1270,6600,1.5
7486,47.592,-122.295,257000,2,1.75,1220,2268,1
7498,47.6159,-122.306,507200,3,3.5,1630,1329,2
7520,47.6277,-122.286,2538000,4,3.5,4350,6000,2
7524,47.6402,-122.314,960000,3,2.5,2010,6857,1
7537,47.6217,-122.309,1112750,5,3.5,3090,3600,2
7550,47.6013,-122.299,345000,2,1,960,2700,1
7722,47.6131,-122.297,387000,2,2.5,1170,1394,2
7745,47.6285,-122.301,713500,3,2,1720,4200,2
7808,47.6223,-122.294,332000,1,1,960,2640,1
7850,47.6156,-122.297,622000,3,1.5,1650,3150,1.5
7863,47.5986,-122.298,390000,3,1,1240,3600,1.5
7893,47.6001,-122.298,455000,2,1.5,1200,1259,2
7895,47.6452,-122.317,1440000,3,3.5,3870,3819,2
7896,47.617,-122.286,850000,3,2.25,2220,3707,2
7922,47.6253,-122.284,1475000,4,3,3050,6179,2
7944,47.617,-122.309,485500,2,1.5,1340,1286,2
7959,47.5919,-122.297,285000,2,1,990,2446,2
8066,47.606,-122.307,733500,3,1.5,2120,4370,1.5
8073,47.6187,-122.284,2193000,3,2.25,3360,7108,2
8081,47.6099,-122.293,613000,3,2.5,1350,3068,2
8116,47.6261,-122.324,350000,2,1,1070,2880,1
8132,47.5918,-122.295,245000,2,1,670,2356,1
8138,47.6172,-122.298,650000,2,1,1050,2542,1
8169,47.637,-122.327,525000,3,2.25,1290,1182,2
8173,47.5953,-122.294,577500,2,2.5,2330,3000,2
8192,47.6476,-122.32,875000,3,2,2350,6000,1.5
8221,47.6039,-122.307,446000,2,1.5,1370,1221,2
8226,47.6025,-122.286,771000,3,2.25,1780,6120,1.5
8383,47.5923,-122.301,450000,9,7.5,4050,6504,2
8438,47.6088,-122.293,470000,4,2,1500,3659,1
8490,47.6405,-122.324,440000,2,2.75,1100,1088,2
8549,47.625,-122.3,958000,4,3.5,1800,6400,2
8597,47.6191,-122.301,460000,2,2.25,1230,929,2
8625,47.6138,-122.299,659000,3,1.5,1540,5040,2
8635,47.6155,-122.29,1000000,3,3,2880,3750,2
8650,47.6242,-122.306,1005000,5,2,2440,3080,2
8736,47.6342,-122.289,1910000,4,3,4460,6833,2
8737,47.5929,-122.306,190500,3,1.5,1110,1150,2
8799,47.6184,-122.301,482500,3,2.25,1450,1445,2
8813,47.61,-122.293,454000,3,2.5,1590,4094,2
8823,47.6074,-122.294,552500,3,2.25,2700,4025,2
8824,47.6394,-122.321,1050000,3,3,3490,4500,2.5
8826,47.6393,-122.308,680000,3,1.75,1620,5500,1
8827,47.635,-122.284,985000,3,1.75,1670,5400,2
8829,47.5937,-122.301,431000,2,1.5,1300,4000,1.5
8856,47.6157,-122.29,770000,3,1.75,1720,5000,1
8914,47.6215,-122.29,883000,4,2.5,2800,6874,2
8936,47.641,-122.315,660000,3,2.5,2290,2798,3
8992,47.6258,-122.305,1234000,4,3,2660,4600,1.5
8996,47.6145,-122.284,1265000,4,3.25,3640,3604,2
9022,47.6362,-122.324,670000,3,1.75,1280,2147,1.5
9085,47.6236,-122.306,490000,3,1.5,990,1343,2
9116,47.6412,-122.302,727000,3,2.25,2180,4200,1.5
9228,47.6191,-122.296,375000,3,2,2240,5200,1
9261,47.605,-122.304,500000,3,2,1560,1156,3
9329,47.6144,-122.295,615000,2,1.5,880,2400,1.5
9363,47.5926,-122.293,570000,2,1,1790,3760,1.5
9384,47.6287,-122.3,785950,4,3,2530,4560,1.5
9392,47.6157,-122.291,563250,3,1.75,1370,2800,1
9414,47.6317,-122.312,1755000,3,2,2360,4800,2
9429,47.6183,-122.298,358000,2,1.5,960,1808,2
9472,47.6317,-122.304,1395710,4,2.25,3960,8640,2
9505,47.6029,-122.309,390000,2,1.5,1050,934,2
9516,47.5978,-122.292,1220000,3,3.25,3030,5600,2
9555,47.6224,-122.304,500000,2,1,1010,3885,1.5
9579,47.6332,-122.281,1100000,3,2.75,2640,4050,1.5
9652,47.6021,-122.295,448175,2,2,1370,1339,2
9657,47.6448,-122.317,1100000,4,3,2880,5500,2
9677,47.638,-122.29,1738000,4,2.25,2920,6513,2
9698,47.5969,-122.293,735000,3,2,1610,3600,2
9710,47.6088,-122.307,317500,2,1,1000,5120,1
9717,47.6098,-122.292,535000,3,2.75,2490,3600,2
9721,47.6339,-122.282,650000,2,1,1280,6000,1
9765,47.6382,-122.307,1050000,4,2.75,2250,3433,1.5
9776,47.6102,-122.299,497000,2,1,770,3325,1
9781,47.6388,-122.302,632750,4,2,1800,4800,1.5
9821,47.6419,-122.306,808000,4,2.25,2190,4104,2
9849,47.6415,-122.303,620000,2,1,1430,3000,1.5
9876,47.6348,-122.301,1100000,5,2.75,2520,4643,1.5
10010,47.5917,-122.297,305000,2,1.5,800,2142,2
10016,47.5908,-122.292,457500,3,2.25,1430,2003,2
10047,47.6122,-122.297,625000,3,1.5,1600,4128,1.5
10089,47.6103,-122.297,601000,4,3.5,2160,3600,2
10091,47.621,-122.303,462500,2,2,1690,4200,2
10131,47.6374,-122.299,1197000,4,2.5,3940,4407,2
10139,47.6103,-122.296,500000,3,2,1540,3600,1
10157,47.5955,-122.306,443000,5,1.75,1650,3000,1.5
10176,47.6132,-122.292,575000,4,2,1810,4400,2
10204,47.6025,-122.313,630000,5,1,3020,4800,2
10229,47.638,-122.288,3400000,4,4,4260,11765,2
10282,47.6394,-122.299,1350000,4,3.25,3030,5164,1.5
10310,47.6343,-122.283,850000,3,2,1540,3600,2
10333,47.6059,-122.295,510000,2,1,1270,4500,1.5
10352,47.6249,-122.298,480000,2,1,820,4200,1
10411,47.6268,-122.297,563225,3,1,2460,4000,1.5
10416,47.638,-122.317,995000,3,2.25,3200,3800,2
10434,47.621,-122.298,489000,2,2.75,1465,972,2
10438,47.6408,-122.327,615000,3,3,1420,991,2
10491,47.6169,-122.294,428000,4,2,1300,7200,1
10537,47.6033,-122.3,520000,3,1,940,3000,1.5
10659,47.604,-122.311,600000,2,2,990,5416,1
10669,47.6175,-122.298,440000,2,1.5,1120,1024,2
10687,47.5979,-122.297,360000,5,2,2120,2400,1
10691,47.6226,-122.292,463000,2,1,1150,4400,1
10727,47.6284,-122.291,675000,2,1.75,2140,5000,1
10736,47.6163,-122.294,360000,3,1,1280,3870,1
10749,47.6158,-122.291,742500,4,2.75,3100,3773,2
10755,47.64,-122.285,1565000,3,1.75,2190,8500,1
10790,47.6133,-122.287,1378600,5,3.25,3450,6360,2
10799,47.6063,-122.305,408000,3,3,1500,1473,2
10805,47.6311,-122.312,998500,3,1.75,2140,4800,2
10811,47.6336,-122.29,1225000,3,2.25,2980,7700,1
10837,47.609,-122.314,500000,2,1,930,3200,1
10867,47.6401,-122.32,690000,3,1.5,1760,4000,2
10904,47.6041,-122.31,660000,6,1.75,1840,2774,1
11002,47.6085,-122.311,640000,3,3.5,1740,1975,2
11009,47.6228,-122.319,635000,2,2.5,1390,1132,2
11025,47.6025,-122.303,549000,3,2,2330,3600,1.5
11032,47.6149,-122.293,436000,2,1,790,6600,1
11068,47.6374,-122.307,695000,3,3.75,2380,3600,1.5
11077,47.6174,-122.308,687500,3,1.5,1280,2114,1.5
11154,47.615,-122.288,920000,3,1.75,2480,4000,1
11242,47.5949,-122.308,499000,4,2.5,1970,2601,2
11244,47.6392,-122.318,615000,3,1.75,1920,4000,1
11322,47.6044,-122.299,680000,5,2,2140,5000,1.5
11323,47.6263,-122.312,1750000,6,3,3510,5760,2.5
11337,47.632,-122.29,1142000,4,3.25,2500,5801,1.5
11343,47.5909,-122.297,402000,3,1.5,1320,3145,2
11349,47.636,-122.302,625000,4,1.75,2180,4431,1.5
11358,47.6024,-122.296,625000,4,1.5,2120,5000,2
11415,47.6018,-122.299,332888,2,2.5,1050,1029,2
11441,47.5933,-122.292,1400000,4,3.25,2980,7000,2
11490,47.6181,-122.302,400000,2,2,1050,1173,2
11514,47.6341,-122.304,1850000,5,3.25,3680,6060,2
11568,47.6175,-122.301,370000,2,1,750,2020,1
11596,47.6324,-122.289,1475000,3,2.75,3910,7080,1
11619,47.6385,-122.281,1620000,3,3.5,3490,4000,2
11630,47.6412,-122.329,402000,2,1,710,1173,2
11652,47.6187,-122.295,900000,3,1.75,1540,8400,1.5
11665,47.6282,-122.322,1443920,4,3,3720,5000,2.5
11715,47.6389,-122.288,3000000,5,3.75,4590,11265,2
11718,47.6146,-122.306,739000,6,4.5,4000,7500,2
11743,47.6447,-122.327,845000,3,1.75,1600,2538,2
11744,47.6437,-122.321,1300000,4,1.75,4060,5500,2
11745,47.5976,-122.298,350000,3,2.25,1322,1796,2
11766,47.6081,-122.289,540000,3,2.25,1320,1800,2
11771,47.6235,-122.309,1260000,4,2,2970,5400,2.5
11788,47.6105,-122.309,700000,3,1.75,2010,4905,1
11870,47.6074,-122.299,575000,5,2.5,2760,4000,1.5
11920,47.6134,-122.282,1665000,4,3.75,3450,8395,2
11953,47.5929,-122.29,1462500,5,3.25,3840,4800,3
11999,47.5917,-122.296,432500,4,1.75,1500,1856,1
12042,47.6124,-122.314,518000,2,1.5,1140,1149,2
12060,47.6109,-122.285,1186040,3,1.75,2550,6117,2
12072,47.5928,-122.29,1340000,4,3.5,3190,5040,2
12174,47.5924,-122.287,1900000,6,4,3020,13237,2
12245,47.6192,-122.316,530000,2,1.75,1170,976,2
12252,47.6316,-122.303,940000,4,2.25,1890,5940,1
12253,47.5927,-122.306,375000,3,1.5,1100,1751,2
12354,47.6117,-122.301,458500,3,1.5,1280,1920,1.5
12366,47.6279,-122.315,1272500,4,1.75,2040,5000,2
12411,47.643,-122.299,1350000,4,1.75,2000,3728,1.5
12434,47.6207,-122.295,747000,3,1.75,2560,4800,1
12470,47.5958,-122.299,450000,4,2,1960,5008,1
12482,47.6168,-122.303,510000,2,1,1070,5280,1
12545,47.6036,-122.305,498000,3,2.5,1620,2640,2
12607,47.591,-122.293,536500,4,2.5,1720,3515,2
12661,47.5997,-122.312,388500,3,2.25,1350,944,2
12716,47.6349,-122.29,2300000,4,2.5,3370,8402,1
12723,47.6112,-122.293,998500,2,1,1570,4400,1.5
12765,47.6352,-122.29,2250000,3,2.5,3420,8700,1
12774,47.5972,-122.295,386500,4,1,1400,3600,1
12807,47.5923,-122.298,619000,5,3.5,2950,2932,3
12846,47.6315,-122.282,1250000,4,2.25,1830,7200,2
12874,47.6212,-122.298,600000,3,1,970,4800,1
12886,47.6208,-122.319,525000,3,1,1010,3520,1
12908,47.6029,-122.304,455000,5,2,1510,3000,2
12915,47.6232,-122.299,1010000,3,2.25,2160,7500,2
12934,47.6103,-122.3,602000,3,2.5,1640,3804,2
12946,47.6181,-122.284,2546000,4,3,4190,8805,2.5
12982,47.6265,-122.298,1125000,4,3.5,3170,4000,2
13011,47.6414,-122.327,800000,4,2,2450,4400,1
13053,47.6199,-122.3,520000,3,2.5,1480,1165,3
13116,47.6363,-122.32,690000,3,1,1580,4000,2
13120,47.6378,-122.301,785000,3,2,2090,5015,1.5
13155,47.604,-122.306,485000,4,1.75,1430,4096,2
13160,47.5949,-122.291,920000,3,2.25,3650,5353,2
13163,47.6028,-122.309,375000,2,1.5,1050,1046,2
13171,47.6272,-122.312,1328000,4,2.25,3260,4640,2
13179,47.6054,-122.314,505000,4,1.75,1940,4800,1
13227,47.6295,-122.32,1475000,3,2.5,2570,5000,2
13250,47.593,-122.289,1000000,4,3.5,2990,4200,2
13275,47.6142,-122.284,925000,4,2.75,3010,3400,2
13287,47.5994,-122.287,565000,2,1.75,1740,4736,1.5
13328,47.6259,-122.321,825000,4,1,1820,4000,2
13387,47.5905,-122.292,830000,5,3.5,2880,3750,2
13406,47.6265,-122.296,910000,5,2.5,2350,4000,2
13416,47.6003,-122.306,400000,4,1.75,1580,5340,1
13501,47.6399,-122.311,690000,3,2.75,2480,3240,1.5
13552,47.5998,-122.3,345000,2,1.5,1180,844,2
13592,47.6143,-122.305,750000,4,2.75,1750,5080,1.5
