,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,host_listings_count,availability_365
14748,40.8183,-73.91938,150,5,58,1.45,1,37
14771,40.85139,-73.78414,95,1,227,5.65,1,16
14787,40.82442,-73.86193,45,2,6,0.15,1,0
14835,40.8199,-73.9281,110,1,0,0,1,0
14858,40.81778,-73.90858,60,2,63,1.68,4,336
14934,40.87925,-73.88254,80,1,2,0.05,1,0
15004,40.8522,-73.91014,26,3,21,0.64,2,127
15038,40.8883,-73.91665,150,2,79,1.99,1,267
15111,40.8098,-73.92149,500,10,0,0,1,358
15175,40.80903,-73.92143,125,3,142,3.59,1,185
15190,40.81928,-73.90933,60,2,47,1.22,4,249
15192,40.81725,-73.90929,55,2,31,0.81,4,280
15193,40.81911,-73.90939,60,2,77,1.96,4,171
15407,40.83648,-73.85812,59,1,120,3.11,2,336
15409,40.86323,-73.84638,450,2,81,2.07,4,342
15460,40.83703,-73.85648,75,2,63,1.8,2,150
15472,40.81384,-73.90514,85,5,4,0.31,1,0
15545,40.86947,-73.85993,104,2,33,0.85,5,86
15598,40.89118,-73.84987,99,3,68,1.78,1,2
15793,40.88871,-73.86175,40,1,151,4.01,1,338
15802,40.86412,-73.84664,75,2,92,2.45,1,265
15809,40.82575,-73.92421,175,1,0,0,1,0
15883,40.83211,-73.92052,49,1,33,0.87,1,348
15993,40.83049,-73.87354,51,3,9,0.26,2,89
16023,40.85396,-73.89872,34,1,2,0.05,1,0
16071,40.86032,-73.88493,130,1,0,0,1,365
16298,40.83458,-73.91021,57,90,11,0.31,7,68
16326,40.88493,-73.8618,67,3,205,5.39,1,140
16538,40.84268,-73.89294,68,1,0,0,1,0
16586,40.82909,-73.92249,95,5,0,0,1,0
16607,40.87938,-73.86349,500,2,19,0.56,1,345
16650,40.80884,-73.9302,139,2,28,0.8,4,131
16661,40.80872,-73.93051,49,2,59,1.59,4,148
16662,40.80952,-73.93025,41,2,57,1.54,4,146
16677,40.84559,-73.89815,41,7,22,0.61,2,68
16691,40.83166,-73.81747,89,1,192,5.15,1,303
16704,40.85927,-73.90142,40,21,23,0.61,2,266
16816,40.83041,-73.91838,75,1,0,0,1,0
16824,40.8357,-73.91023,110,90,11,0.3,7,77
16847,40.80842,-73.93136,33,2,63,1.75,4,145
16852,40.81937,-73.90978,45,2,68,1.83,1,156
16869,40.81949,-73.92913,99,1,103,2.87,1,264
16938,40.82716,-73.89911,30,1,11,0.3,1,0
16994,40.82412,-73.90266,350,7,0,0,3,14
16996,40.86048,-73.91181,120,1,0,0,1,0
17041,40.82162,-73.92698,50,2,0,0,1,0
17302,40.89984,-73.86902,85,2,43,1.19,1,299
17345,40.85859,-73.89571,65,1,9,0.25,1,0
17363,40.82296,-73.91429,42,2,2,0.06,1,0
17397,40.8355,-73.83729,71,2,118,3.24,1,34
17493,40.82948,-73.92364,82,4,0,0,2,0
17629,40.86066,-73.85414,50,1,8,0.23,1,280
17633,40.8947,-73.85601,52,3,63,1.78,1,0
17735,40.83736,-73.92318,22,3,14,0.39,1,42
17807,40.86853,-73.88301,120,10,7,0.2,1,327
17930,40.88393,-73.90639,50,2,14,0.4,2,26
18055,40.82148,-73.89122,60,1,8,0.22,1,364
18176,40.84166,-73.86818,425,5,0,0,1,363
18203,40.84277,-73.92588,76,7,40,1.15,1,34
18243,40.81998,-73.90325,75,2,110,3.18,2,350
18283,40.81587,-73.81532,175,2,28,0.92,1,36
18293,40.80779,-73.93095,110,3,7,0.2,1,42
18327,40.83796,-73.9016,38,15,8,0.23,2,24
18490,40.88444,-73.90583,80,2,2,0.06,2,220
18627,40.89581,-73.89778,59,2,7,0.21,2,0
18820,40.86932,-73.90057,30,2,56,1.68,1,38
18832,40.83112,-73.87319,49,3,25,0.73,2,0
18836,40.88985,-73.90747,85,2,16,0.47,1,0
18887,40.88207,-73.83538,299,2,2,0.18,13,358
18889,40.85499,-73.86728,43,4,10,0.3,1,88
18976,40.82974,-73.92092,159,1,0,0,1,89
18993,40.85401,-73.86594,76,7,24,0.71,1,0
19016,40.86533,-73.89713,40,3,1,0.1,1,179
19182,40.90175,-73.89761,77,2,9,0.29,2,0
19194,40.88253,-73.86951,68,1,6,0.19,1,87
19219,40.85585,-73.86486,40,5,65,1.94,2,328
19224,40.85236,-73.86632,35,1,114,3.48,1,0
19253,40.8722,-73.87607,50,3,22,0.76,1,342
19269,40.81658,-73.88889,59,14,13,0.4,4,340
19369,40.81201,-73.90823,100,2,170,5.16,1,83
19375,40.88283,-73.89326,60,3,2,0.07,1,363
19445,40.81072,-73.92349,120,2,26,0.85,1,260
19508,40.86663,-73.84139,35,1,117,4.66,4,34
19565,40.83844,-73.92489,75,4,37,1.21,1,26
19619,40.89121,-73.85131,79,3,18,0.57,1,5
19668,40.82006,-73.90332,80,2,77,2.37,2,365
19791,40.88297,-73.90727,105,3,54,1.68,2,278
19861,40.87529,-73.8762,40,1,1,0.03,1,0
19867,40.88546,-73.90526,55,1,0,0,2,64
20053,40.85018,-73.9167,55,2,0,0,1,364
20055,40.84862,-73.92412,75,1,3,0.32,1,365
20166,40.85711,-73.86474,45,5,30,0.98,2,318
20173,40.89743,-73.86983,68,2,1,0.07,2,39
20196,40.82286,-73.84765,86,2,86,2.76,1,171
20235,40.86352,-73.90503,80,30,0,0,1,365
20251,40.86914,-73.8951,79,3,73,2.79,4,69
20389,40.87372,-73.88625,60,2,3,0.1,1,364
20402,40.88467,-73.90575,30,4,11,0.35,2,0
20416,40.87583,-73.87737,125,1,0,0,1,0
20516,40.90154,-73.89791,125,7,0,0,1,89
20528,40.86605,-73.90694,47,26,3,0.16,1,37
20534,40.87093,-73.8934,58,3,84,2.74,4,75
20559,40.86909,-73.89396,55,3,74,2.42,4,84
20594,40.81841,-73.89067,45,14,18,0.68,4,332
20625,40.82388,-73.9279,60,2,53,1.8,2,169
20627,40.82415,-73.92778,50,2,63,2.06,2,110
20679,40.82441,-73.89454,50,3,61,2.17,2,22
20719,40.84012,-73.86521,40,1,1,0.03,1,0
20729,40.89279,-73.89946,135,6,8,0.32,1,250
20755,40.86084,-73.90288,110,7,0,0,2,40
20799,40.80743,-73.92971,115,5,7,0.23,1,7
20839,40.8179,-73.91456,100,6,0,0,1,365
20843,40.83248,-73.83203,46,4,43,1.65,3,135
20847,40.87692,-73.87427,130,5,0,0,1,89
20907,40.8262,-73.92557,150,4,84,2.87,1,93
20952,40.85188,-73.90321,60,90,5,0.2,7,94
21105,40.85318,-73.90204,71,90,10,0.41,7,310
21126,40.8115,-73.9258,80,7,0,0,2,0
21135,40.82987,-73.86608,60,2,105,3.61,1,131
21139,40.84906,-73.85418,73,3,14,0.61,1,138
21149,40.8562,-73.90899,43,3,36,1.26,5,365
21188,40.87035,-73.89335,79,3,86,2.88,10,78
21191,40.86925,-73.89534,60,3,101,3.43,10,83
21256,40.87924,-73.89791,84,3,114,4,4,63
21297,40.82692,-73.92183,45,5,46,1.55,1,174
21378,40.85615,-73.90077,34,3,7,0.79,1,126
21379,40.87031,-73.89322,79,3,98,3.45,10,68
21380,40.86917,-73.89465,60,3,77,2.7,10,65
21397,40.86673,-73.845,119,3,75,2.74,1,146
21407,40.86686,-73.84207,35,1,16,0.61,4,3
21463,40.84752,-73.82797,89,2,94,3.2,1,252
21538,40.83243,-73.92035,40,1,11,0.42,3,239
21642,40.83173,-73.92824,75,1,127,4.45,1,134
21733,40.84034,-73.83007,20,1,116,4.09,1,5
21809,40.85929,-73.90048,45,22,10,0.36,2,186
21836,40.81632,-73.90991,130,2,62,2.19,1,36
21875,40.87094,-73.89386,79,3,115,4.1,4,71
21949,40.88438,-73.86397,125,1,0,0,1,0
22037,40.86437,-73.83863,43,20,6,0.69,2,104
22041,40.84565,-73.91684,80,4,0,0,1,0
22158,40.8781,-73.89998,99,3,116,4.35,2,86
22173,40.86437,-73.8485,47,2,40,1.58,2,339
22194,40.86868,-73.85483,105,2,73,2.67,5,87
22198,40.8709,-73.89946,60,2,11,0.52,4,365
22216,40.84546,-73.89013,150,1,43,1.57,1,179
22270,40.81034,-73.93166,165,2,20,0.85,1,15
22276,40.81234,-73.91688,42,5,54,2.05,4,314
22277,40.81387,-73.91553,42,5,17,0.65,4,23
22281,40.88534,-73.83434,75,1,15,0.55,1,348
22290,40.82097,-73.92739,145,2,76,3.04,1,139
22310,40.85311,-73.88763,29,4,4,0.15,1,0
22348,40.81217,-73.91777,41,5,21,0.78,4,334
22390,40.88364,-73.83561,70,3,0,0,1,365
22511,40.8134,-73.89893,75,3,6,0.25,1,87
22544,40.84499,-73.91157,60,5,3,0.13,1,0
22551,40.87372,-73.84065,75,1,3,0.11,1,129
22708,40.84647,-73.89299,38,2,33,1.27,2,327
22709,40.85487,-73.91391,53,3,55,2.15,4,80
22737,40.82942,-73.87564,60,2,89,3.36,4,30
22738,40.83081,-73.87587,45,2,74,2.89,4,34
22775,40.86718,-73.86235,33,1,0,0,1,179
22784,40.84992,-73.90346,50,1,6,0.23,1,0
22859,40.83018,-73.83413,42,4,22,1.18,3,147
22860,40.83117,-73.87566,43,2,71,2.71,4,59
22881,40.84289,-73.92688,100,2,107,4.12,5,344
22889,40.81406,-73.88997,65,4,36,1.36,1,365
22898,40.85878,-73.83402,199,2,81,3.17,1,286
22912,40.8298,-73.87715,40,2,62,2.38,4,44
22942,40.84111,-73.92513,80,2,100,3.86,5,338
22987,40.83159,-73.83375,40,4,35,1.36,3,171
23011,40.91169,-73.90564,50,365,0,0,1,363
23073,40.87192,-73.84676,60,1,0,0,2,0
23082,40.84594,-73.89358,45,2,49,1.95,2,324
23094,40.87309,-73.86326,60,1,5,0.19,1,0
23118,40.88702,-73.86575,60,1,39,1.57,1,360
23136,40.87315,-73.87925,65,1,0,0,1,0
23218,40.84473,-73.91175,55,2,112,4.65,1,271
23278,40.85961,-73.86361,49,3,1,0.04,1,0
23281,40.87063,-73.84896,70,1,3,0.12,2,0
23307,40.87188,-73.842,75,4,69,2.68,2,119
23337,40.85152,-73.90374,48,90,2,0.16,7,93
23346,40.86707,-73.90712,55,5,3,0.12,2,364
23371,40.83051,-73.82511,95,1,266,10.34,1,345
23440,40.87271,-73.89972,60,3,19,0.75,1,81
23442,40.85484,-73.90646,60,1,1,0.05,1,0
23447,40.85624,-73.90946,40,3,26,1.03,5,365
23519,40.80652,-73.85312,350,3,1,0.09,1,0
23537,40.90281,-73.85201,28,1,0,0,1,0
23583,40.85168,-73.86659,100,7,0,0,1,180
23621,40.8229,-73.90295,100,3,30,1.18,1,0
23639,40.82964,-73.92882,60,3,17,0.67,2,66
23750,40.81023,-73.91926,70,1,0,0,1,87
23867,40.8329,-73.89608,60,5,4,0.16,1,175
23911,40.85771,-73.90899,40,3,31,1.26,5,362
23961,40.81227,-73.88871,37,30,5,0.37,6,329
24008,40.90391,-73.85312,120,2,34,1.42,1,77
24116,40.88249,-73.86274,50,1,85,3.43,1,328
24160,40.83855,-73.83167,85,3,1,0.08,1,0
24232,40.83625,-73.91079,127,90,4,0.19,7,250
24238,40.83083,-73.91928,62,1,8,0.67,1,175
24326,40.86729,-73.89046,75,2,13,0.57,1,364
24336,40.8774,-73.87537,29,2,1,0.04,1,0
24411,40.82153,-73.92683,140,2,2,0.08,1,0
24414,40.81133,-73.92356,100,5,13,0.58,2,14
24419,40.85152,-73.86121,39,1,57,2.38,3,39
24453,40.89785,-73.86977,70,2,2,0.11,2,0
24477,40.88671,-73.9151,2500,2,0,0,3,179
24516,40.83561,-73.91108,58,3,59,2.89,1,42
24548,40.85167,-73.92144,50,1,0,0,1,363
24567,40.85306,-73.78948,85,2,42,1.76,1,168
24570,40.84932,-73.85883,35,3,4,0.17,1,76
24609,40.81699,-73.86741,80,1,2,0.09,1,88
24621,40.87896,-73.90674,75,2,40,1.74,1,246
24676,40.85961,-73.89031,110,1,0,0,1,0
24704,40.82164,-73.90163,65,3,2,0.11,1,0
24744,40.83914,-73.78158,80,1,6,1.33,2,358
24759,40.83507,-73.9104,72,90,2,0.12,7,223
24764,40.84024,-73.85836,45,1,23,0.96,1,54
24842,40.84899,-73.90375,250,2,45,2.18,1,289
24924,40.83805,-73.85867,26,1,18,0.78,2,342
24960,40.83384,-73.8863,65,2,91,3.82,4,325
24983,40.85145,-73.86129,29,1,53,2.65,3,137
25115,40.81005,-73.91977,40,1,73,3.16,4,51
25121,40.83336,-73.88636,75,2,71,3,4,358
25149,40.85527,-73.86719,35,1,21,0.96,1,284
25188,40.83758,-73.84382,72,2,35,1.52,2,129
25203,40.88032,-73.85877,45,3,33,1.47,4,325
25303,40.85634,-73.86633,45,2,21,0.91,1,280
25308,40.90734,-73.90137,119,3,0,0,1,0
25395,40.82406,-73.8934,155,3,13,0.61,1,285
25405,40.88667,-73.91494,600,2,0,0,3,269
25422,40.88515,-73.91411,800,2,1,0.04,3,269
25433,40.83296,-73.88668,0,2,55,2.56,4,127
25470,40.8372,-73.84345,70,2,67,2.99,2,129
25488,40.83243,-73.88608,55,2,60,2.59,4,171
25536,40.88304,-73.88278,58,5,1,0.04,1,0
25540,40.83556,-73.91098,70,4,42,1.85,2,77
25556,40.88165,-73.90633,100,2,46,2,1,10
25580,40.81941,-73.92762,69,2,98,4.57,2,193
25654,40.85031,-73.90102,105,1,23,1.02,3,6
25681,40.88883,-73.90046,175,1,10,0.54,1,0
25704,40.85217,-73.90239,100,2,2,1.05,3,26
25705,40.89756,-73.85639,50,1,130,5.76,4,148
25725,40.83206,-73.91969,60,1,2,0.09,1,0
25828,40.88698,-73.86049,35,2,16,1.55,3,156
25880,40.83121,-73.8483,450,2,1,0.06,2,342
25882,40.84711,-73.83039,80,2,66,3.04,1,56
25895,40.82627,-73.90803,65,2,0,0,1,0
25899,40.85657,-73.90915,55,1,2,0.11,1,0
25914,40.84964,-73.78717,50,2,45,2.04,1,118
26025,40.84101,-73.92626,62,2,75,3.34,5,351
26026,40.89811,-73.85543,55,1,156,7,4,318
26031,40.84184,-73.92535,42,2,92,4.11,5,311
26032,40.84103,-73.92701,42,2,62,2.76,5,1
26044,40.89685,-73.85382,55,1,0,0,1,0
26073,40.81645,-73.86355,40,3,10,0.46,2,156
26075,40.83257,-73.91245,45,1,0,0,1,0
26102,40.85751,-73.90805,45,3,12,0.54,5,365
26122,40.835,-73.91114,60,4,30,1.38,2,179
26123,40.83497,-73.9189,35,7,32,1.68,1,50
26146,40.90356,-73.84172,59,1,11,0.5,1,35
26161,40.82638,-73.92225,55,1,46,2.16,1,46
26225,40.86144,-73.86427,79,2,95,4.46,1,225
26290,40.85362,-73.8896,140,2,71,3.45,1,291
26359,40.82453,-73.92563,60,1,16,0.74,1,0
26362,40.81553,-73.92453,120,2,0,0,1,0
26370,40.84038,-73.85662,65,3,12,0.55,1,0
26399,40.88192,-73.86186,60,1,70,3.55,1,283
26438,40.87759,-73.88459,42,2,6,0.27,1,62
26441,40.85444,-73.88462,30,3,5,0.23,2,361
26495,40.86506,-73.84295,40,2,37,1.81,1,35
26526,40.80762,-73.92454,115,2,100,4.76,1,130
26542,40.86924,-73.90651,40,30,4,0.19,2,148
26547,40.83408,-73.87419,28,3,27,1.32,2,214
26587,40.83439,-73.8585,300,2,9,0.47,1,0
26605,40.83555,-73.8757,25,3,38,1.82,2,119
26765,40.85632,-73.88631,35,3,7,0.38,2,357
26801,40.8459,-73.91558,77,2,36,1.81,1,5
26911,40.85579,-73.88512,29,3,9,0.43,2,322
26916,40.87666,-73.90034,149,3,37,1.9,1,146
26963,40.82706,-73.91779,80,1,0,0,1,88
26980,40.85456,-73.88521,29,4,5,0.25,2,360
26987,40.82407,-73.8614,49,2,25,1.32,2,184
27037,40.8568,-73.9149,175,2,68,3.34,1,89
27052,40.81728,-73.86343,40,3,5,0.46,2,365
27055,40.87847,-73.90268,80,3,1,0.05,1,0
27066,40.80889,-73.92028,125,3,32,1.59,1,6
27179,40.82276,-73.92682,114,2,79,3.88,1,283
27196,40.82251,-73.91125,60,3,0,0,1,90
27238,40.82995,-73.90342,50,1,0,0,1,0
27270,40.82245,-73.90875,110,2,19,0.97,1,0
27384,40.89215,-73.83351,75,3,50,3.02,1,148
27399,40.83079,-73.8815,50,2,10,0.79,2,283
27404,40.8118,-73.92263,54,1,9,0.46,1,0
27622,40.88302,-73.90899,70,1,8,0.43,1,0
27675,40.88688,-73.84789,70,2,5,1.16,1,365
27723,40.81039,-73.92478,73,1,1,0.08,1,0
27749,40.84607,-73.83842,99,7,1,0.06,2,349
27782,40.83067,-73.88024,35,1,14,0.7,2,1
27819,40.86264,-73.84854,62,2,61,3.22,1,68
27879,40.85973,-73.86699,70,2,7,0.36,1,0
28030,40.86706,-73.84674,40,2,17,1.23,1,17
28168,40.82739,-73.88176,50,1,0,0,2,0
28172,40.8739,-73.90364,69,1,31,1.7,2,365
28179,40.80024,-73.91422,49,3,59,3.08,1,0
28368,40.82668,-73.8822,50,1,2,0.1,2,0
28375,40.84572,-73.91023,39,1,33,1.93,1,8
28398,40.82496,-73.91389,45,2,54,2.94,2,313
28480,40.84279,-73.86527,100,2,98,5.1,1,89
28481,40.88447,-73.90157,55,1,14,0.76,2,127
28487,40.87491,-73.87575,87,2,1,0.05,1,0
28558,40.85828,-73.88559,30,1,3,0.16,1,0
28593,40.81037,-73.91946,65,2,47,2.52,1,0
28658,40.8785,-73.86347,200,1,90,4.76,3,326
28799,40.83314,-73.91708,38,2,0,0,1,0
28849,40.86674,-73.89284,30,2,2,0.11,2,90
28870,40.80726,-73.92999,50,2,4,0.21,1,0
28963,40.87504,-73.88476,200,3,0,0,1,83
29027,40.82441,-73.90361,125,1,25,1.34,2,0
29133,40.87446,-73.87453,187,3,4,0.22,1,76
29158,40.83373,-73.91147,140,1,106,5.7,1,310
29178,40.823,-73.90859,60,1,104,5.61,1,365
29269,40.85702,-73.83697,300,1,0,0,1,0
